scientificName_harmonise,class,order,family,source
Eleutherodactylus planirostris,Amphibia,Anura,Leptodactylidae,CABI
Hemidactylus frenatus,Reptilia,Sauria,Gekkonidae,CABI
Lampropeltis californiae,Reptilia,Serpentes,Colubridae,CABI
Osteopilus septentrionalis,Amphibia,Anura,Hylidae,CABI
Pantherophis guttatus,Reptilia,Serpentes,Colubridae,CABI
Podarcis sicula,Reptilia,Sauria,Lacertidae,CABI
Rhinella marina,Amphibia,Anura,Bufonidae,CABI
Trioceros jacksonii,Reptilia,Squamata,,CABI
Varanus niloticus,Reptilia,Sauria,Varanidae,CABI
Anolis aeneus,Reptilia,Squamata,Polychrotidae,GISD
Anolis equestris,Reptilia,,Polychrotidae,GISD
Anolis extremus,Reptilia,,Polychrotidae,GISD
Anolis leachii,Reptilia,,Polychrotidae,GISD
Anolis maynardi,Reptilia,,Polychrotidae,GISD
Anolis wattsi,Reptilia,,Polychrotidae,GISD
Boiga irregularis,Reptilia,Squamata,Colubridae,GISD
Elaphe guttata,Reptilia,Squamata,Colubridae,GISD
Hemidactylus frenatus,Reptilia,Squamata,Gekkonidae,GISD
Hemidactylus mabouia,Reptilia,Squamata,Gekkonidae,GISD
Osteopilus septentrionalis,Amphibia,Anura,Hylidae,GISD
Rhinella marina,Amphibia,Anura,Bufonidae,GISD
Aparasphenodon bruno,Amphibia,,,Kraus (2009)
Bufo marinu,Amphibia,,,Kraus (2009)
Bufo regularis,Amphibia,,,Kraus (2009)
Bufo melanostictus,Amphibia,,,Kraus (2009)
Bufo stomaticus,Amphibia,,,Kraus (2009)
Bufo viridis,Amphibia,,,Kraus (2009)
Crinia signifera,Amphibia,,,Kraus (2009)
Eleutherodactylus johnstonei,Amphibia,,,Kraus (2009)
Eleutherodactylus planirostris,Amphibia,,,Kraus (2009)
Eleutherodactylus martinicensis,Amphibia,,,Kraus (2009)
Fejervarya cancrivora ,Amphibia,,,Kraus (2009)
Fejervarya limnocharis ,Amphibia,,,Kraus (2009)
Hyla cinerea,Amphibia,,,Kraus (2009)
Hymenochirus curtipes ,Amphibia,,,Kraus (2009)
Hypsiboas albomarginatus ,Amphibia,,,Kraus (2009)
Kaloula picta,Amphibia,,,Kraus (2009)
Kaloula pulchra,Amphibia,,,Kraus (2009)
Limnodynastes tasmaniensis,Amphibia,,,Kraus (2009)
Limnodynastes terrareginae,Amphibia,,,Kraus (2009)
Litoria adelaidensis,Amphibia,,,Kraus (2009)
Litoria aurea,Amphibia,,,Kraus (2009)
Litoria bicolor,Amphibia,,,Kraus (2009)
Litoria caerulea,Amphibia,,,Kraus (2009)
Litoria chloris,Amphibia,,,Kraus (2009)
Litoria ewingii,Amphibia,,,Kraus (2009)
Litoria fallax,Amphibia,,,Kraus (2009)
Litoria gracilenta,Amphibia,,,Kraus (2009)
Litoria infrafrenata,Amphibia,,,Kraus (2009)
Litoria phyllocroa,Amphibia,,,Kraus (2009)
Litoria rothii,Amphibia,,,Kraus (2009)
Litoria rubella,Amphibia,,,Kraus (2009)
Litoria verreauxii,Amphibia,,,Kraus (2009)
Litoria xanthomera,Amphibia,,,Kraus (2009)
Microhyla ornata,Amphibia,,,Kraus (2009)
Microhyla pulchra,Amphibia,,,Kraus (2009)
Osteopilus septentrionalis,Amphibia,,,Kraus (2009)
Phrynohyas venulosus,Amphibia,,,Kraus (2009)
Phrynomantis bifasciatus,Amphibia,,,Kraus (2009)
Pleurodema brachyops,Amphibia,,,Kraus (2009)
Polypedates leucomystax,Amphibia,,,Kraus (2009)
Polypedates megacephalus,Amphibia,,,Kraus (2009)
Pseudacris clarkii,Amphibia,,,Kraus (2009)
Pseudacris regilla,Amphibia,,,Kraus (2009)
Ptychadena mascareniensis,Amphibia,,,Kraus (2009)
Rana berlandieri,Amphibia,,,Kraus (2009)
Rana catesbeiana ,Amphibia,,,Kraus (2009)
Rana guentheri,Amphibia,,,Kraus (2009)
Rana nigromaculata,Amphibia,,,Kraus (2009)
Rana ridibunda,Amphibia,,,Kraus (2009)
Rana sphenocephala,Amphibia,,,Kraus (2009)
Rana sylvatica,Amphibia,,,Kraus (2009)
Rana temporaria,Amphibia,,,Kraus (2009)
Scinax quinquefasciatus ,Amphibia,,,Kraus (2009)
Scinax ruber ,Amphibia,,,Kraus (2009)
Syrrhophus cystignathoides ,Amphibia,,,Kraus (2009)
Trachycephalus jordani ,Amphibia,,,Kraus (2009)
Xenopus laevis,Amphibia,,,Kraus (2009)
Ambstoma macrodactylum ,Amphibia,,,Kraus (2009)
Bolitoglossa rufescens,Amphibia,,,Kraus (2009)
Aneides vagrans ,Amphibia,,,Kraus (2009)
Agama agama,Reptilia,Squamata,,Kraus (2009)
Amphisbaena alba,Reptilia,Squamata,,Kraus (2009)
Anolis aeneus,Reptilia,Squamata,,Kraus (2009)
Anolis carolinensis,Reptilia,Squamata,,Kraus (2009)
Anolis cristatellus ,Reptilia,Squamata,,Kraus (2009)
Anolis distichus,Reptilia,Squamata,,Kraus (2009)
Anolis extremus,Reptilia,Squamata,,Kraus (2009)
Anolis marmoratus,Reptilia,Squamata,,Kraus (2009)
Anolis maynardi,Reptilia,Squamata,,Kraus (2009)
Anolis porcatus,Reptilia,Squamata,,Kraus (2009)
Anolis sagrei,Reptilia,Squamata,,Kraus (2009)
Calotes versicolor,Reptilia,Squamata,,Kraus (2009)
Chalcides ocellatus ,Reptilia,Squamata,,Kraus (2009)
Chamaeleo chamaeleon,Reptilia,Squamata,,Kraus (2009)
Chondrodactylus bibronii,Reptilia,Squamata,,Kraus (2009)
Christinus marmoratus,Reptilia,Squamata,,Kraus (2009)
Cnemidophorus lemniscatus,Reptilia,Squamata,,Kraus (2009)
Cordylus jonesii ,Reptilia,Squamata,,Kraus (2009)
Cryptoblepharus carnabyi,Reptilia,Squamata,,Kraus (2009)
Cryptoblepharus plagiocephalus,Reptilia,Squamata,,Kraus (2009)
Cryptoblepharus poecilopleurus,Reptilia,Squamata,,Kraus (2009)
Cryptoblepharus virgatus ,Reptilia,Squamata,,Kraus (2009)
Cyrtopodion scabrum,Reptilia,Squamata,,Kraus (2009)
Darevskia valentini ,Reptilia,Squamata,,Kraus (2009)
Diplodactylus ciliaris,Reptilia,Squamata,,Kraus (2009)
Egernia depressa,Reptilia,Squamata,,Kraus (2009)
Egernia formosa,Reptilia,Squamata,,Kraus (2009)
Egernia stokesii,Reptilia,Squamata,,Kraus (2009)
Elgaria multicarinata,Reptilia,Squamata,,Kraus (2009)
Emoia cyanura,Reptilia,Squamata,,Kraus (2009)
Emoia impar,Reptilia,Squamata,,Kraus (2009)
Eulamprus quoyii ,Reptilia,Squamata,,Kraus (2009)
Gallotia galloti,Reptilia,Squamata,,Kraus (2009)
Gallotia stehlini,Reptilia,Squamata,,Kraus (2009)
Gehyra mutilata,Reptilia,Squamata,,Kraus (2009)
Gehyra oceanica,Reptilia,Squamata,,Kraus (2009)
Gehyra variegata,Reptilia,Squamata,,Kraus (2009)
Gekko gecko,Reptilia,Squamata,,Kraus (2009)
Gekko hokouensis,Reptilia,Squamata,,Kraus (2009)
Gekko japonicus,Reptilia,Squamata,,Kraus (2009)
Gekko monarchus,Reptilia,Squamata,,Kraus (2009)
Gonatodes albogularis,Reptilia,Squamata,,Kraus (2009)
Gonatodes caudiscutatus,Reptilia,Squamata,,Kraus (2009)
Gonatodes vittatus,Reptilia,Squamata,,Kraus (2009)
Hemidactylus brookii,Reptilia,Squamata,,Kraus (2009)
Hemidactylus flaviviridis ,Reptilia,Squamata,,Kraus (2009)
Hemidactylus frenatus,Reptilia,Squamata,,Kraus (2009)
Hemidactylus garnotii,Reptilia,Squamata,,Kraus (2009)
Hemidactylus mabouia,Reptilia,Squamata,,Kraus (2009)
Hemidactylus platyurus,Reptilia,Squamata,,Kraus (2009)
Hemidactylus turcicus,Reptilia,Squamata,,Kraus (2009)
Hemiphyllodactylus typus,Reptilia,Squamata,,Kraus (2009)
Lacerta bilineata,Reptilia,Squamata,,Kraus (2009)
Lampropholis delicata,Reptilia,Squamata,,Kraus (2009)
Lampropholis guichenoti,Reptilia,Squamata,,Kraus (2009)
Laudakia stellio,Reptilia,Squamata,,Kraus (2009)
Lepidodactylus aureolineatus,Reptilia,Squamata,,Kraus (2009)
Lepidodactylus euaensis,Reptilia,Squamata,,Kraus (2009)
Lepidodactylus lugubris,Reptilia,Squamata,,Kraus (2009)
Lipinia noctua,Reptilia,Squamata,,Kraus (2009)
Lygodactylus capensis,Reptilia,Squamata,,Kraus (2009)
Lygosoma bowringii,Reptilia,Squamata,,Kraus (2009)
Mabuya comorensis,Reptilia,Squamata,,Kraus (2009)
Mabuya multifasciata,Reptilia,Squamata,,Kraus (2009)
Mabuya quinquetaeniata ,Reptilia,Squamata,,Kraus (2009)
Mediodactylus kotschyi,Reptilia,Squamata,,Kraus (2009)
Oedura rhombifer,Reptilia,Squamata,,Kraus (2009)
Ophisaurus ventralis,Reptilia,Squamata,,Kraus (2009)
Phelsuma astriata,Reptilia,Squamata,,Kraus (2009)
Phelsuma cepediana,Reptilia,Squamata,,Kraus (2009)
Phyllodactylus reissi,Reptilia,Squamata,,Kraus (2009)
Plica plica,Reptilia,Squamata,,Kraus (2009)
Podarcis muralis,Reptilia,Squamata,,Kraus (2009)
Podarcis pityusensis,Reptilia,Squamata,,Kraus (2009)
Podarcis sicula,Reptilia,Squamata,,Kraus (2009)
Pygopus lepidopodus,Reptilia,Squamata,,Kraus (2009)
Saproscincus challengeri,Reptilia,Squamata,,Kraus (2009)
Saproscincus mustelina,Reptilia,Squamata,,Kraus (2009)
Scelarcis perspicillata,Reptilia,Squamata,,Kraus (2009)
Sceloporus occidentalis ,Reptilia,Squamata,,Kraus (2009)
Scincella lateralis,Reptilia,Squamata,,Kraus (2009)
Sphaerodactylus argus,Reptilia,Squamata,,Kraus (2009)
Sphaerodactylus copei,Reptilia,Squamata,,Kraus (2009)
Sphaerodactylus elegans,Reptilia,Squamata,,Kraus (2009)
Sphaerodactylus glaucus ,Reptilia,Squamata,,Kraus (2009)
Sphaerodactylus notatus,Reptilia,Squamata,,Kraus (2009)
Tarentola boettgeri,Reptilia,Squamata,,Kraus (2009)
Tarentola delalandii,Reptilia,Squamata,,Kraus (2009)
Tarentola mauritanica,Reptilia,Squamata,,Kraus (2009)
Tarentola parvicarinata ,Reptilia,Squamata,,Kraus (2009)
Teira dugesii ,Reptilia,Squamata,,Kraus (2009)
Tiliqua scincoides,Reptilia,Squamata,,Kraus (2009)
Timon lepidus,Reptilia,Squamata,,Kraus (2009)
Uta stansburiana,Reptilia,Squamata,,Kraus (2009)
Varanus caudolineatus,Reptilia,Squamata,,Kraus (2009)
Boa constrictor,Reptilia,Squamata,,Kraus (2009)
Boiga irregularis,Reptilia,Squamata,,Kraus (2009)
Bothriechis schlegelii,Reptilia,Squamata,,Kraus (2009)
Bungarus fasciatus,Reptilia,Squamata,,Kraus (2009)
Candoia bibroni,Reptilia,Squamata,,Kraus (2009)
Coluber constrictor,Reptilia,Squamata,,Kraus (2009)
Corallus annulatus,Reptilia,Squamata,,Kraus (2009)
Corallus caninus,Reptilia,Squamata,,Kraus (2009)
Dendrelaphis caudolineatus,Reptilia,Squamata,,Kraus (2009)
Dendrelaphis punctulatus,Reptilia,Squamata,,Kraus (2009)
Diadophis punctatus,Reptilia,Squamata,,Kraus (2009)
Drymarchon corais,Reptilia,Squamata,,Kraus (2009)
Elaphe guttata,Reptilia,Squamata,,Kraus (2009)
Elaphe quadrivirgata,Reptilia,Squamata,,Kraus (2009)
Elaphe taeniura,Reptilia,Squamata,,Kraus (2009)
Epicrates cenchria,Reptilia,Squamata,,Kraus (2009)
Hemorrhois algirus,Reptilia,Squamata,,Kraus (2009)
Heterodon nasicus,Reptilia,Squamata,,Kraus (2009)
Hierophis viridiflavus,Reptilia,Squamata,,Kraus (2009)
Homoroselaps lacteus,Reptilia,Squamata,,Kraus (2009)
Imantodes cenchoa,Reptilia,Squamata,,Kraus (2009)
Lampropeltis triangulum ,Reptilia,Squamata,,Kraus (2009)
Leptodeira annulata,Reptilia,Squamata,,Kraus (2009)
Leptophis ahaetulla,Reptilia,Squamata,,Kraus (2009)
Leptophis depressirostris ,Reptilia,Squamata,,Kraus (2009)
Lycodon aulicus,Reptilia,Squamata,,Kraus (2009)
Malpolon monspessulanus,Reptilia,Squamata,,Kraus (2009)
Micrurus fulvius,Reptilia,Squamata,,Kraus (2009)
Morelia spilota,Reptilia,Squamata,,Kraus (2009)
Morelia viridis,Reptilia,Squamata,,Kraus (2009)
Natrix maura,Reptilia,Squamata,,Kraus (2009)
Natrix natrix,Reptilia,Squamata,,Kraus (2009)
Natrix tesselata,Reptilia,Squamata,,Kraus (2009)
Ninia sebae,Reptilia,Squamata,,Kraus (2009)
Oxyuranus scutellatus,Reptilia,Squamata,,Kraus (2009)
Pituophis catenifer,Reptilia,Squamata,,Kraus (2009)
Platyceps florulentus,Reptilia,Squamata,,Kraus (2009)
Protobothrops flavoviridis,Reptilia,Squamata,,Kraus (2009)
Trimeresurus flavoviridis,Reptilia,Squamata,,Kraus (2009)
Pseudonaja textilis,Reptilia,Squamata,,Kraus (2009)
Python molurus,Reptilia,Squamata,,Kraus (2009)
Ramphotyphlops braminus,Reptilia,Squamata,,Kraus (2009)
Rhinoplocephalus nigrescens,Reptilia,Squamata,,Kraus (2009)
Simoselaps bimaculatus ,Reptilia,Squamata,,Kraus (2009)
Spalerosophis diadema,Reptilia,Squamata,,Kraus (2009)
Spilotes pullatus,Reptilia,Squamata,,Kraus (2009)
Suta ordensis,Reptilia,Squamata,,Kraus (2009)
Tantilla melanocephala,Reptilia,Squamata,,Kraus (2009)
Telescopus fallax,Reptilia,Squamata,,Kraus (2009)
Thamnophis sirtalis,Reptilia,Squamata,,Kraus (2009)
Trimeresurus popeiorum ,Reptilia,Squamata,,Kraus (2009)
Duttaphrynus melanostictus,,,,Measey et al. (2019)
Hyperolius marmoratus,,,,Measey et al. (2019)
Phrynomantis bifasciatus,,,,Measey et al. (2019)
Hyperolius tuberilinguis,,,,Measey et al. (2019)
Schismaderma carens,,,,Measey et al. (2019)
Chiromantis xerampelina,,,,Measey et al. (2019)
rhinella marina,,,,Toomes et al. (2019)
hemidactylus frenatus,,,,Toomes et al. (2019)
varanus salvator,,,,Toomes et al. (2019)
orthriophis taeniurus,,,,Toomes et al. (2019)
chrysopelea ornata,,,,Toomes et al. (2019)
dendrelaphis pictus,,,,Toomes et al. (2019)
gekko monarchus,,,,Toomes et al. (2019)
varanus timorensis,,,,Toomes et al. (2019)
lycodon capucinus,,,,Toomes et al. (2019)
boiga dendrophila,,,,Toomes et al. (2019)
phrynoidis juxtaspera,,,,Toomes et al. (2019)
trachemys scripta,,,,Toomes et al. (2019)
gehyra oceanica,,,,Toomes et al. (2019)
coronella austriaca,,,,Toomes et al. (2019)
gekko gecko,,,,Toomes et al. (2019)
gehyra mutilata,,,,Toomes et al. (2019)
duttaphrynus melanostictus,,,,Toomes et al. (2019)
lamprolepis smaragdina,,,,Toomes et al. (2019)
rana dalmatina,,,,Toomes et al. (2019)
hemidactylus leschenaultii,,,,Toomes et al. (2019)
kaloula baleata,,,,Toomes et al. (2019)
hemidactylus platyurus,,,,Toomes et al. (2019)
lepidodactylus lugubris,,,,Toomes et al. (2019)
polypedates leucomystax,,,,Toomes et al. (2019)
trachylepis affinis,,,,Toomes et al. (2019)
hymenochirus curtipes,,,,Toomes et al. (2019)
hyla japonica,,,,Toomes et al. (2019)
calotes versicolor,,,,Toomes et al. (2019)
hoplobatrachus rugulosus,,,,Toomes et al. (2019)
kaloula pulchra,,,,Toomes et al. (2019)
hyla versicolor,,,,Toomes et al. (2019)
platymantis vitiensis,,,,Toomes et al. (2019)
tarentola chazaliae,,,,Toomes et al. (2019)
trachemys scripta elegans,,,,Toomes et al. (2019)
pseudotrapelus sinaitus,,,,Toomes et al. (2019)
lycodon aulicus,,,,Toomes et al. (2019)
anolis carolinensis,,,,Toomes et al. (2019)
pelobates syriacus,,,,Toomes et al. (2019)
gekko japonicus,,,,Toomes et al. (2019)
hemidactylus flaviviridis,,,,Toomes et al. (2019)
hyla squirella,,,,Toomes et al. (2019)
osteopilus septentrionalis,,,,Toomes et al. (2019)
regina grahami,,,,Toomes et al. (2019)
elaphe quadrivirgata,,,,Toomes et al. (2019)
polypedates megacephalus,,,,Toomes et al. (2019)
hemidactylus turcicus,,,,Toomes et al. (2019)
chondrodactylus bibronii,,,,Toomes et al. (2019)
hyla cinerea,,,,Toomes et al. (2019)
amietophrynus rangeri,,,,Toomes et al. (2019)
pseudacris crucifer,,,,Toomes et al. (2019)
iguana iguana,,,,Toomes et al. (2019)
chiromantis xerampelina,,,,Toomes et al. (2019)
anolis sagrei,,,,Toomes et al. (2019)
buergeria robusta,,,,Toomes et al. (2019)
broghammerus reticulatus,,,,Toomes et al. (2019)
hemorrhois hippocrepis,,,,Toomes et al. (2019)
chelydra serpentina,,,,Toomes et al. (2019)
scincella lateralis,,,,Toomes et al. (2019)
psittacula eupatria,,,,Toomes et al. (2019)
hylarana glandulosa,,,,Toomes et al. (2019)
hyla arborea,,,,Toomes et al. (2019)
amietophrynus gutturalis,,,,Toomes et al. (2019)
leiocephalus carinatus,,,,Toomes et al. (2019)
podarcis siculus,,,,Toomes et al. (2019)
gekko vittatus,,,,Toomes et al. (2019)
rana coreana,,,,Toomes et al. (2019)
sceloporus olivaceus,,,,Toomes et al. (2019)
furcifer pardalis,,,,Toomes et al. (2019)
euprepiophis mandarinus,,,,Toomes et al. (2019)
discoglossus pictus,,,,Toomes et al. (2019)
echis carinatus,,,,Toomes et al. (2019)
emoia cyanura,,,,Toomes et al. (2019)
basiliscus plumifrons,,,,Toomes et al. (2019)
tarentola mauritanica,,,,Toomes et al. (2019)
sturnus vulgaris,,,,Toomes et al. (2019)
hemidactylus bowringii,,,,Toomes et al. (2019)
pantherophis guttatus,,,,Toomes et al. (2019)
candoia carinata,,,,Toomes et al. (2019)
pelobates fuscus,,,,Toomes et al. (2019)
python regius,,,,Toomes et al. (2019)
chondrodactylus turneri,,,,Toomes et al. (2019)
carduelis carduelis,,,,Toomes et al. (2019)
python curtus,,,,Toomes et al. (2019)
cyrtodactylus marmoratus,,,,Toomes et al. (2019)
trimeresurus albolabris,,,,Toomes et al. (2019)
pelodiscus sinensis,,,,Toomes et al. (2019)
phelsuma grandis,,,,Toomes et al. (2019)
pseudepidalea viridis,,,,Toomes et al. (2019)
rhacophorus chenfui,,,,Toomes et al. (2019)
boa constrictor,,,,Toomes et al. (2019)
python bivittatus,,,,Toomes et al. (2019)
mauremys sinensis,,,,Toomes et al. (2019)
bufo stomaticus,,,,Toomes et al. (2019)
schismaderma carens,,,,Toomes et al. (2019)
Ambystoma mexicanum,,,,Garca-Diaz et al. (2014)
Schismaderma carens,,,,Garca-Diaz et al. (2014)
Duttaphrynus stomaticus,,,,Garca-Diaz et al. (2014)
Duttaphrynus melanostictus,,,,Garca-Diaz et al. (2014)
Bufo viridis,,,,Garca-Diaz et al. (2014)
Amietophrynus rangeri,,,,Garca-Diaz et al. (2014)
Andrias japonicus,,,,Garca-Diaz et al. (2014)
Dendrobates tinctorius,,,,Garca-Diaz et al. (2014)
Dendrobates auratus,,,,Garca-Diaz et al. (2014)
Adelphobates galactonotus,,,,Garca-Diaz et al. (2014)
Hoplobatrachus rugulosus,,,,Garca-Diaz et al. (2014)
Osteopilus septentrionalis,,,,Garca-Diaz et al. (2014)
Litoria xanthomera,,,,Garca-Diaz et al. (2014)
Litoria verreauxii,,,,Garca-Diaz et al. (2014)
Litoria splendida,,,,Garca-Diaz et al. (2014)
Litoria spenceri,,,,Garca-Diaz et al. (2014)
Litoria rubella,,,,Garca-Diaz et al. (2014)
Litoria rothii,,,,Garca-Diaz et al. (2014)
Litoria raniformis,,,,Garca-Diaz et al. (2014)
Litoria phyllochroa,,,,Garca-Diaz et al. (2014)
Litoria peronii,,,,Garca-Diaz et al. (2014)
Litoria novaehollandiae,,,,Garca-Diaz et al. (2014)
Litoria moorei,,,,Garca-Diaz et al. (2014)
Litoria littlejohni,,,,Garca-Diaz et al. (2014)
Litoria lesueuri,,,,Garca-Diaz et al. (2014)
Litoria latopalmata,,,,Garca-Diaz et al. (2014)
Litoria infrafrenata,,,,Garca-Diaz et al. (2014)
Litoria gracilenta,,,,Garca-Diaz et al. (2014)
Litoria gilleni,,,,Garca-Diaz et al. (2014)
Litoria genimaculata,,,,Garca-Diaz et al. (2014)
Litoria fallax,,,,Garca-Diaz et al. (2014)
Litoria ewingii,,,,Garca-Diaz et al. (2014)
Litoria dahlii,,,,Garca-Diaz et al. (2014)
Litoria cyclorhyncha,,,,Garca-Diaz et al. (2014)
Litoria citropa,,,,Garca-Diaz et al. (2014)
Litoria chloris,,,,Garca-Diaz et al. (2014)
Litoria cavernicola,,,,Garca-Diaz et al. (2014)
Litoria caerulea,,,,Garca-Diaz et al. (2014)
Litoria booroolongensis,,,,Garca-Diaz et al. (2014)
Litoria bicolor,,,,Garca-Diaz et al. (2014)
Litoria australis,,,,Garca-Diaz et al. (2014)
Litoria aurea,,,,Garca-Diaz et al. (2014)
Litoria adelaidensis,,,,Garca-Diaz et al. (2014)
Hyla versicolor,,,,Garca-Diaz et al. (2014)
Hyla squirella,,,,Garca-Diaz et al. (2014)
Hyla japonica,,,,Garca-Diaz et al. (2014)
Hyla cinerea,,,,Garca-Diaz et al. (2014)
Leiopelma hochstetteri,,,,Garca-Diaz et al. (2014)
Leiopelma archeyi,,,,Garca-Diaz et al. (2014)
Kaloula pulchra,,,,Garca-Diaz et al. (2014)
Cophixalus ornatus,,,,Garca-Diaz et al. (2014)
Austrochaperina adelphe,,,,Garca-Diaz et al. (2014)
Taudactylus liemi,,,,Garca-Diaz et al. (2014)
Spicospina flammocaerulea,,,,Garca-Diaz et al. (2014)
Pseudophryne pengilleyi,,,,Garca-Diaz et al. (2014)
Pseudophryne corroboree,,,,Garca-Diaz et al. (2014)
Pseudophryne bibronii,,,,Garca-Diaz et al. (2014)
Pseudophryne australis,,,,Garca-Diaz et al. (2014)
Platypectrum spenceri,,,,Garca-Diaz et al. (2014)
Philoria frosti,,,,Garca-Diaz et al. (2014)
Notaden weigeli,,,,Garca-Diaz et al. (2014)
Notaden nichollsi,,,,Garca-Diaz et al. (2014)
Mixophyes schevilli,,,,Garca-Diaz et al. (2014)
Mixophyes fleayi,,,,Garca-Diaz et al. (2014)
Mixophyes fasciolatus,,,,Garca-Diaz et al. (2014)
Mixophyes iteratus,,,,Garca-Diaz et al. (2014)
Mixophyes balbus,,,,Garca-Diaz et al. (2014)
Limnodynastes terraereginae,,,,Garca-Diaz et al. (2014)
Limnodynastes tasmaniensis,,,,Garca-Diaz et al. (2014)
Limnodynastes peronii,,,,Garca-Diaz et al. (2014)
Limnodynastes dumerilii,,,,Garca-Diaz et al. (2014)
Limnodynastes dorsalis,,,,Garca-Diaz et al. (2014)
Limnodynastes convexiusculus,,,,Garca-Diaz et al. (2014)
Lechriodus fletcheri,,,,Garca-Diaz et al. (2014)
Geocrinia vitellina,,,,Garca-Diaz et al. (2014)
Geocrinia alba,,,,Garca-Diaz et al. (2014)
Crinia signifera,,,,Garca-Diaz et al. (2014)
Crinia parinsignifera,,,,Garca-Diaz et al. (2014)
Paracrinia haswelli,,,,Garca-Diaz et al. (2014)
Geocrinia laevis,,,,Garca-Diaz et al. (2014)
Neobatrachus sudelli,,,,Garca-Diaz et al. (2014)
Pseudophryne semimarmorata,,,,Garca-Diaz et al. (2014)
Heleioporus australiacus,,,,Garca-Diaz et al. (2014)
Pelobates syriacus,,,,Garca-Diaz et al. (2014)
Xenopus laevis,,,,Garca-Diaz et al. (2014)
Hymenochirus curtipes,,,,Garca-Diaz et al. (2014)
Pyxicephalus adspersus,,,,Garca-Diaz et al. (2014)
Platymantis vitiensis,,,,Garca-Diaz et al. (2014)
Polypedates megacephalus,,,,Garca-Diaz et al. (2014)
Polypedates leucomystax,,,,Garca-Diaz et al. (2014)
Liuixalus romeri,,,,Garca-Diaz et al. (2014)
Chiromantis xerampelina,,,,Garca-Diaz et al. (2014)
Buergeria robusta,,,,Garca-Diaz et al. (2014)
Triturus cristatus,,,,Garca-Diaz et al. (2014)
Taricha granulosa,,,,Garca-Diaz et al. (2014)
Lissotriton vulgaris,,,,Garca-Diaz et al. (2014)
Cynops pyrrhogaster,,,,Garca-Diaz et al. (2014)
